Year,State,FAH sales million nominal U.S. dollars without taxes and tips,FAFH sales million nominal U.S. dollars without taxes and tips,Total sales million nominal U.S. dollars without taxes and tips,FAH sales million constant 1988 U.S. dollars without taxes and tips,FAFH sales million constant 1988 U.S. dollars without taxes and tips,Total food sales million constant 1988 U.S. dollars without taxes and tips
2004,North Carolina,"13,901.56","10,405.03","24,306.59","8,826.99","6,703.03","15,530.02"
2005,North Carolina,"14,709.83","11,061.51","25,771.34","9,154.01","6,925.47","16,079.48"
2006,North Carolina,"15,275.89","12,022.86","27,298.75","9,325.40","7,303.22","16,628.61"
2007,North Carolina,"16,271.15","12,837.76","29,108.91","9,533.15","7,540.64","17,073.79"
2008,North Carolina,"17,079.20","13,309.10","30,388.30","9,376.15","7,473.49","16,849.64"
2009,North Carolina,"16,583.04","13,097.35","29,680.39","9,034.97","7,096.95","16,131.92"
2010,North Carolina,"16,822.76","13,447.69","30,270.45","9,111.93","7,195.08","16,307.02"
2011,North Carolina,"17,737.56","14,243.98","31,981.54","9,139.60","7,455.32","16,594.92"
2012,North Carolina,"19,189.10","15,156.05","34,345.15","9,627.44","7,720.26","17,347.69"
2013,North Carolina,"19,452.01","16,157.33","35,609.34","9,644.71","8,045.60","17,690.32"
2014,North Carolina,"20,366.81","17,399.92","37,766.73","9,858.05","8,465.00","18,323.04"
2015,North Carolina,"20,845.01","18,998.35","39,843.36","9,986.43","8,968.92","18,955.35"
2016,North Carolina,"21,535.74","20,389.01","41,924.75","10,466.03","9,436.82","19,902.86"
2017,North Carolina,"23,019.74","21,914.07","44,933.81","11,212.14","9,942.48","21,154.62"
2018,North Carolina,"23,820.51","22,994.27","46,814.79","11,567.58","10,216.97","21,784.55"
2019,North Carolina,"24,875.26","24,375.42","49,250.68","11,997.21","10,507.61","22,504.82"
2020,North Carolina,"27,223.38","22,215.64","49,439.01","12,683.38","9,322.04","22,005.43"
2021,North Carolina,"29,670.46","27,247.62","56,918.08","13,364.45","11,007.87","24,372.31"
2022,North Carolina,"31,809.81","30,866.55","62,676.36","12,864.26","11,570.74","24,435.00"
2023,North Carolina,"32,481.69","33,509.40","65,991.09","12,469.62","11,727.23","24,196.85"
1997,North Dakota,849.54,489.31,"1,338.84",635.36,373.15,"1,008.51"
1998,North Dakota,844.32,510.44,"1,354.76",620.17,379.45,999.62
1999,North Dakota,870.19,523.08,"1,393.27",625.99,379.28,"1,005.27"
2000,North Dakota,895.66,559.32,"1,454.98",629.75,394.40,"1,024.15"
2001,North Dakota,921.99,576.35,"1,498.33",628.68,395.07,"1,023.74"
2002,North Dakota,940.59,598.90,"1,539.48",636.46,401.88,"1,038.33"
2003,North Dakota,984.99,627.25,"1,612.24",657.23,412.68,"1,069.91"
2004,North Dakota,"1,032.42",671.70,"1,704.12",669.47,429.23,"1,098.71"
2005,North Dakota,"1,098.23",713.11,"1,811.34",697.22,440.65,"1,137.87"
2006,North Dakota,"1,166.24",751.74,"1,917.98",728.74,452.20,"1,180.94"
2007,North Dakota,"1,170.79",799.44,"1,970.22",703.63,464.88,"1,168.51"
2008,North Dakota,"1,315.84",853.01,"2,168.86",743.23,473.59,"1,216.82"
2009,North Dakota,"1,329.33",897.25,"2,226.59",743.80,480.22,"1,224.02"
2010,North Dakota,"1,386.87",962.19,"2,349.07",772.54,509.38,"1,281.92"
2011,North Dakota,"1,475.04","1,061.29","2,536.33",784.76,548.03,"1,332.79"
2012,North Dakota,"1,665.63","1,177.49","2,843.11",863.53,590.85,"1,454.38"
2013,North Dakota,"1,762.09","1,240.43","3,002.53",908.52,607.77,"1,516.29"
2014,North Dakota,"1,841.43","1,334.22","3,175.66",926.42,636.14,"1,562.56"
2015,North Dakota,"1,795.84","1,405.91","3,201.75",898.52,650.44,"1,548.97"
2016,North Dakota,"1,752.05","1,413.09","3,165.14",888.43,637.46,"1,525.88"
2017,North Dakota,"1,796.19","1,480.21","3,276.40",914.07,656.76,"1,570.83"
2018,North Dakota,"1,846.34","1,548.46","3,394.81",939.32,671.01,"1,610.32"
2019,North Dakota,"1,859.67","1,598.01","3,457.68",941.46,674.46,"1,615.92"
2020,North Dakota,"1,932.64","1,471.92","3,404.56",950.95,605.81,"1,556.76"
2021,North Dakota,"2,103.51","1,823.54","3,927.04","1,000.71",714.20,"1,714.90"
2022,North Dakota,"2,202.26","1,951.90","4,154.16",928.33,703.07,"1,631.40"
2023,North Dakota,"2,233.81","2,050.57","4,284.39",894.95,691.50,"1,586.45"
1997,Ohio,"13,278.65","10,548.15","23,826.80","9,930.95","8,044.16","17,975.11"
1998,Ohio,"13,446.27","10,951.63","24,397.90","9,876.62","8,141.22","18,017.84"
1999,Ohio,"14,173.34","11,301.23","25,474.57","10,195.94","8,194.44","18,390.38"
2000,Ohio,"14,963.49","11,972.71","26,936.20","10,521.06","8,442.48","18,963.54"
2001,Ohio,"15,456.01","12,186.90","27,642.91","10,539.02","8,353.69","18,892.71"
2002,Ohio,"15,773.91","12,536.30","28,310.21","10,673.59","8,412.24","19,085.82"
2003,Ohio,"17,699.25","13,134.99","30,834.25","11,809.76","8,641.83","20,451.59"
2004,Ohio,"18,084.46","13,973.15","32,057.61","11,726.88","8,929.18","20,656.06"
2005,Ohio,"19,559.20","14,656.64","34,215.84","12,417.34","9,056.70","21,474.04"
2006,Ohio,"20,250.90","15,264.14","35,515.05","12,654.07","9,181.85","21,835.91"
2007,Ohio,"21,201.02","15,663.94","36,864.96","12,741.62","9,108.69","21,850.31"
2008,Ohio,"23,021.57","15,906.88","38,928.45","13,003.34","8,831.37","21,834.71"
2009,Ohio,"22,571.54","15,685.81","38,257.35","12,629.35","8,395.25","21,024.61"
2010,Ohio,"23,316.85","16,213.87","39,530.72","12,988.41","8,583.51","21,571.92"
2011,Ohio,"24,527.79","17,168.73","41,696.52","13,049.41","8,865.64","21,915.05"
2012,Ohio,"26,580.02","18,178.25","44,758.27","13,780.22","9,121.62","22,901.84"
2013,Ohio,"26,228.82","19,142.41","45,371.23","13,523.34","9,379.09","22,902.43"
2014,Ohio,"26,340.00","20,264.89","46,604.89","13,251.63","9,662.04","22,913.68"
2015,Ohio,"25,939.50","21,807.33","47,746.83","12,978.43","10,089.17","23,067.61"
2016,Ohio,"25,874.31","22,984.42","48,858.73","13,120.28","10,368.51","23,488.79"
2017,Ohio,"26,367.34","24,333.64","50,700.98","13,418.17","10,796.76","24,214.93"
2018,Ohio,"27,128.22","25,396.46","52,524.68","13,801.34","11,005.21","24,806.56"
2019,Ohio,"27,466.89","26,348.41","53,815.30","13,905.12","11,120.62","25,025.73"
2020,Ohio,"28,988.62","23,850.43","52,839.05","14,263.75","9,816.29","24,080.04"
2021,Ohio,"30,605.87","29,290.66","59,896.52","14,560.19","11,471.80","26,031.99"
2022,Ohio,"32,012.92","32,516.82","64,529.74","13,494.60","11,712.46","25,207.06"
2023,Ohio,"32,071.40","34,627.56","66,698.96","12,848.97","11,677.29","24,526.25"
1997,Oklahoma,"3,592.88","2,747.58","6,340.46","2,672.10","2,109.81","4,781.91"
1998,Oklahoma,"3,663.66","2,827.25","6,490.90","2,684.98","2,115.25","4,800.23"
1999,Oklahoma,"3,803.70","2,993.79","6,797.49","2,744.08","2,186.40","4,930.47"
2000,Oklahoma,"3,982.73","3,241.42","7,224.16","2,798.09","2,314.76","5,112.85"
2001,Oklahoma,"4,136.25","3,354.72","7,490.96","2,825.17","2,333.05","5,158.22"
2002,Oklahoma,"4,128.77","3,448.08","7,576.85","2,783.85","2,344.69","5,128.54"
2003,Oklahoma,"4,368.93","3,571.94","7,940.87","2,883.50","2,372.25","5,255.74"
2004,Oklahoma,"4,683.33","3,768.86","8,452.19","2,973.75","2,427.94","5,401.69"
2005,Oklahoma,"5,090.78","3,973.98","9,064.76","3,168.02","2,488.06","5,656.08"
2006,Oklahoma,"5,421.62","4,202.39","9,624.01","3,309.71","2,552.72","5,862.43"
2007,Oklahoma,"5,684.34","4,326.18","10,010.52","3,330.41","2,541.11","5,871.53"
2008,Oklahoma,"6,031.06","4,528.48","10,559.54","3,310.93","2,542.89","5,853.82"
2009,Oklahoma,"5,976.17","4,622.63","10,598.80","3,256.01","2,504.82","5,760.83"
2010,Oklahoma,"6,181.36","4,742.34","10,923.69","3,348.09","2,537.35","5,885.44"
2011,Oklahoma,"6,468.76","5,106.17","11,574.93","3,333.15","2,672.58","6,005.72"
2012,Oklahoma,"7,122.15","5,426.61","12,548.76","3,573.28","2,764.23","6,337.51"
2013,Oklahoma,"7,198.19","5,755.17","12,953.36","3,569.01","2,865.81","6,434.82"
2014,Oklahoma,"7,445.72","6,188.24","13,633.96","3,603.92","3,010.56","6,614.47"
2015,Oklahoma,"7,536.66","6,766.31","14,302.97","3,610.66","3,194.30","6,804.96"
2016,Oklahoma,"7,612.18","7,125.93","14,738.11","3,699.40","3,298.16","6,997.55"
2017,Oklahoma,"7,811.67","7,520.45","15,332.13","3,804.80","3,412.05","7,216.86"
2018,Oklahoma,"8,030.49","7,928.31","15,958.80","3,899.72","3,522.76","7,422.48"
2019,Oklahoma,"8,134.43","8,338.98","16,473.41","3,923.19","3,594.72","7,517.91"
2020,Oklahoma,"8,921.30","8,146.66","17,067.97","4,156.44","3,418.47","7,574.91"
2021,Oklahoma,"9,693.81","9,832.30","19,526.11","4,366.38","3,972.19","8,338.56"
2022,Oklahoma,"9,954.37","10,398.57","20,352.94","4,025.67","3,898.04","7,923.71"
2023,Oklahoma,"10,212.20","11,017.92","21,230.12","3,920.43","3,855.92","7,776.35"
1997,Oregon,"4,848.78","3,255.71","8,104.49","3,466.82","2,540.94","6,007.76"
1998,Oregon,"4,930.35","3,394.93","8,325.28","3,420.10","2,580.66","6,000.77"
1999,Oregon,"5,217.58","3,520.25","8,737.83","3,547.47","2,619.41","6,166.88"
2000,Oregon,"5,471.10","3,787.32","9,258.42","3,645.31","2,756.51","6,401.82"
2001,Oregon,"5,782.66","3,945.39","9,728.05","3,698.36","2,783.61","6,481.97"
2002,Oregon,"5,970.23","4,074.97","10,045.21","3,748.30","2,783.25","6,531.55"
2003,Oregon,"6,314.86","4,308.15","10,623.01","3,860.56","2,886.56","6,747.11"
2004,Oregon,"6,778.21","4,621.75","11,399.95","3,994.85","3,004.26","6,999.11"
2005,Oregon,"7,250.39","4,935.40","12,185.79","4,234.55","3,097.23","7,331.77"
2006,Oregon,"7,740.71","5,320.42","13,061.14","4,467.13","3,243.70","7,710.82"
2007,Oregon,"8,257.67","5,691.32","13,948.99","4,551.16","3,349.76","7,900.92"
2008,Oregon,"8,834.35","5,854.38","14,688.73","4,586.08","3,319.46","7,905.54"
2009,Oregon,"8,640.72","5,568.96","14,209.67","4,518.45","3,062.21","7,580.66"
2010,Oregon,"8,999.26","5,698.63","14,697.88","4,734.35","3,097.18","7,831.53"
2011,Oregon,"9,517.58","6,019.38","15,536.96","4,773.76","3,199.68","7,973.44"
2012,Oregon,"10,483.01","6,350.11","16,833.12","5,164.81","3,275.28","8,440.09"
2013,Oregon,"10,544.12","6,864.67","17,408.78","5,148.82","3,467.65","8,616.47"
2014,Oregon,"10,838.60","7,538.82","18,377.42","5,148.87","3,716.36","8,865.24"
2015,Oregon,"10,998.01","8,443.55","19,441.56","5,138.47","4,046.05","9,184.53"
2016,Oregon,"11,057.25","9,141.52","20,198.77","5,226.15","4,241.31","9,467.46"
2017,Oregon,"11,536.28","9,953.28","21,489.57","5,469.48","4,471.37","9,940.86"
2018,Oregon,"11,921.47","10,590.33","22,511.80","5,627.51","4,600.82","10,228.33"
2019,Oregon,"12,476.68","11,164.22","23,640.90","5,801.18","4,683.60","10,484.79"
2020,Oregon,"13,510.11","9,700.95","23,211.06","6,040.80","3,891.48","9,932.28"
2021,Oregon,"14,694.67","12,049.41","26,744.08","6,295.86","4,608.83","10,904.70"
2022,Oregon,"16,474.67","13,960.66","30,435.34","6,335.93","4,977.29","11,313.22"
2023,Oregon,"16,895.09","15,590.11","32,485.20","6,210.21","5,172.80","11,383.01"
1997,Pennsylvania,"16,941.48","9,373.76","26,315.25","12,506.43","7,423.83","19,930.26"
1998,Pennsylvania,"16,782.29","9,796.13","26,578.43","12,207.17","7,568.65","19,775.82"
1999,Pennsylvania,"17,597.54","10,322.85","27,920.40","12,532.06","7,752.88","20,284.94"
2000,Pennsylvania,"18,016.33","11,027.06","29,043.39","12,626.29","8,108.32","20,734.61"
2001,Pennsylvania,"18,479.19","11,452.69","29,931.88","12,551.51","8,178.64","20,730.15"
2002,Pennsylvania,"18,994.59","11,975.88","30,970.47","12,763.16","8,344.83","21,107.99"
2003,Pennsylvania,"19,842.38","12,535.76","32,378.13","13,038.33","8,555.72","21,594.06"
2004,Pennsylvania,"21,143.90","13,233.33","34,377.23","13,305.79","8,794.39","22,100.18"
2005,Pennsylvania,"21,867.62","14,008.96","35,876.58","13,406.73","9,052.82","22,459.56"
2006,Pennsylvania,"22,550.37","14,808.09","37,358.47","13,518.86","9,234.06","22,752.92"
2007,Pennsylvania,"23,446.42","15,527.10","38,973.52","13,527.94","9,290.40","22,818.34"
2008,Pennsylvania,"24,386.73","15,940.67","40,327.40","13,249.48","9,127.90","22,377.38"
2009,Pennsylvania,"23,999.45","15,745.33","39,744.78","12,911.56","8,719.05","21,630.61"
2010,Pennsylvania,"24,442.75","16,185.17","40,627.92","13,026.85","8,825.05","21,851.90"
2011,Pennsylvania,"25,323.77","17,056.23","42,380.01","12,939.71","9,077.20","22,016.91"
2012,Pennsylvania,"26,590.17","17,871.66","44,461.83","13,224.30","9,262.66","22,486.96"
2013,Pennsylvania,"26,444.22","18,741.79","45,186.02","13,042.86","9,552.69","22,595.55"
2014,Pennsylvania,"27,024.10","19,947.25","46,971.34","13,105.13","9,948.00","23,053.13"
2015,Pennsylvania,"27,176.09","21,463.48","48,639.56","12,999.46","10,460.91","23,460.37"
2016,Pennsylvania,"27,353.96","22,754.62","50,108.57","13,261.90","10,802.61","24,064.51"
2017,Pennsylvania,"27,677.70","24,258.86","51,936.56","13,398.12","11,251.93","24,650.05"
2018,Pennsylvania,"28,884.03","25,436.18","54,320.21","13,811.78","11,480.90","25,292.68"
2019,Pennsylvania,"29,668.73","26,561.74","56,230.47","14,074.29","11,654.74","25,729.04"
2020,Pennsylvania,"31,132.55","22,340.07","53,472.63","14,279.39","9,460.24","23,739.63"
2021,Pennsylvania,"33,593.93","28,210.25","61,804.18","15,054.84","11,402.93","26,457.77"
2022,Pennsylvania,"36,720.77","32,624.05","69,344.82","14,943.53","12,337.41","27,280.94"
2023,Pennsylvania,"37,695.12","35,850.46","73,545.59","14,640.03","12,686.34","27,326.37"
1997,Rhode Island,880.86,"1,007.92","1,888.78",650.26,798.26,"1,448.52"
1998,Rhode Island,928.93,"1,056.75","1,985.68",675.69,816.46,"1,492.15"
1999,Rhode Island,"1,009.21","1,144.24","2,153.45",718.71,859.37,"1,578.08"
2000,Rhode Island,"1,098.01","1,261.70","2,359.70",769.51,927.74,"1,697.25"
2001,Rhode Island,"1,238.77","1,309.88","2,548.65",841.40,935.41,"1,776.82"
2002,Rhode Island,"1,330.65","1,391.57","2,722.22",894.11,969.65,"1,863.76"
2003,Rhode Island,"1,386.77","1,459.80","2,846.57",911.24,996.32,"1,907.56"
2004,Rhode Island,"1,457.38","1,531.32","2,988.70",917.13,"1,017.66","1,934.79"
2005,Rhode Island,"1,510.21","1,565.81","3,076.02",925.89,"1,011.85","1,937.74"
2006,Rhode Island,"1,561.08","1,603.64","3,164.73",935.86,"1,000.00","1,935.87"
2007,Rhode Island,"1,851.60","1,653.63","3,505.23","1,068.32",989.42,"2,057.75"
2008,Rhode Island,"1,862.13","1,688.23","3,550.36","1,011.71",966.71,"1,978.42"
2009,Rhode Island,"1,785.36","1,652.10","3,437.46",960.51,914.86,"1,875.37"
2010,Rhode Island,"1,777.15","1,714.10","3,491.24",947.14,934.62,"1,881.76"
2011,Rhode Island,"1,837.85","1,804.32","3,642.17",939.09,960.25,"1,899.34"
2012,Rhode Island,"1,964.09","1,922.41","3,886.51",976.82,996.36,"1,973.18"
2013,Rhode Island,"2,033.49","2,034.96","4,068.45","1,002.96","1,037.22","2,040.18"
2014,Rhode Island,"2,143.83","2,213.99","4,357.82","1,039.63","1,104.15","2,143.78"
2015,Rhode Island,"2,208.46","2,410.37","4,618.83","1,056.40","1,174.77","2,231.17"
2016,Rhode Island,"2,292.86","2,560.31","4,853.17","1,111.64","1,215.49","2,327.13"
2017,Rhode Island,"2,389.51","2,743.39","5,132.89","1,156.70","1,272.46","2,429.16"
2018,Rhode Island,"2,485.17","2,894.36","5,379.53","1,188.36","1,306.40","2,494.76"
2019,Rhode Island,"2,559.43","3,031.76","5,591.19","1,214.15","1,330.28","2,544.42"
2020,Rhode Island,"2,658.60","2,554.23","5,212.82","1,219.40","1,081.62","2,301.03"
2021,Rhode Island,"2,929.64","3,364.64","6,294.28","1,312.90","1,360.03","2,672.92"
2022,Rhode Island,"3,357.03","3,910.02","7,267.05","1,366.14","1,478.65","2,844.79"
2023,Rhode Island,"3,467.07","4,247.34","7,714.42","1,346.54","1,503.00","2,849.54"
1997,South Carolina,"6,110.19","3,548.78","9,658.98","4,544.28","2,725.04","7,269.32"
1998,South Carolina,"6,008.08","3,786.22","9,794.30","4,403.13","2,832.72","7,235.85"
1999,South Carolina,"6,123.56","4,126.59","10,250.16","4,417.69","3,013.69","7,431.38"
2000,South Carolina,"6,309.99","4,461.91","10,771.90","4,433.12","3,186.33","7,619.45"
2001,South Carolina,"6,447.17","4,647.41","11,094.59","4,403.60","3,232.07","7,635.66"
2002,South Carolina,"6,512.18","4,910.41","11,422.59","4,390.87","3,339.08","7,729.96"
2003,South Carolina,"6,657.73","5,199.41","11,857.14","4,394.10","3,453.11","7,847.21"
2004,South Carolina,"7,120.89","5,596.88","12,717.77","4,521.51","3,605.57","8,127.08"
2005,South Carolina,"7,614.16","5,907.49","13,521.65","4,738.34","3,698.60","8,436.94"
2006,South Carolina,"7,946.64","6,278.81","14,225.45","4,851.15","3,814.02","8,665.17"
2007,South Carolina,"8,503.60","6,646.68","15,150.28","4,982.20","3,904.13","8,886.33"
2008,South Carolina,"8,955.73","6,831.70","15,787.43","4,916.52","3,836.22","8,752.74"
2009,South Carolina,"8,784.13","6,681.32","15,465.45","4,785.88","3,620.35","8,406.22"
2010,South Carolina,"9,063.90","6,858.52","15,922.42","4,909.40","3,669.60","8,579.00"
2011,South Carolina,"9,461.80","7,262.92","16,724.71","4,875.37","3,801.42","8,676.79"
2012,South Carolina,"9,881.99","7,665.92","17,547.91","4,957.93","3,904.90","8,862.83"
2013,South Carolina,"10,055.93","8,146.83","18,202.76","4,985.94","4,056.75","9,042.68"
2014,South Carolina,"10,612.44","8,822.17","19,434.61","5,136.69","4,291.95","9,428.64"
2015,South Carolina,"10,699.45","9,746.21","20,445.66","5,125.89","4,601.08","9,726.97"
2016,South Carolina,"10,861.90","10,441.85","21,303.75","5,278.71","4,832.89","10,111.61"
2017,South Carolina,"11,296.45","11,190.56","22,487.01","5,502.12","5,077.19","10,579.31"
2018,South Carolina,"11,929.34","11,982.35","23,911.69","5,793.06","5,324.08","11,117.14"
2019,South Carolina,"12,339.27","12,662.60","25,001.86","5,951.17","5,458.52","11,409.68"
2020,South Carolina,"13,368.10","11,723.70","25,091.80","6,228.21","4,919.46","11,147.66"
2021,South Carolina,"14,314.84","14,387.99","28,702.84","6,447.83","5,812.66","12,260.48"
2022,South Carolina,"15,105.23","15,943.72","31,048.95","6,108.73","5,976.72","12,085.45"
2023,South Carolina,"15,465.24","17,203.92","32,669.16","5,937.06","6,020.83","11,957.88"
1997,South Dakota,970.19,592.76,"1,562.95",725.60,452.05,"1,177.64"
1998,South Dakota,979.89,624.73,"1,604.62",719.75,464.41,"1,184.16"
1999,South Dakota,"1,015.36",653.85,"1,669.22",730.43,474.11,"1,204.53"
2000,South Dakota,"1,072.72",714.62,"1,787.34",754.25,503.91,"1,258.16"
2001,South Dakota,"1,145.91",760.24,"1,906.15",781.36,521.12,"1,302.48"
2002,South Dakota,"1,150.27",794.16,"1,944.43",778.34,532.91,"1,311.25"
2003,South Dakota,"1,196.29",830.03,"2,026.32",798.22,546.10,"1,344.32"
2004,South Dakota,"1,268.90",886.79,"2,155.69",822.82,566.68,"1,389.50"
2005,South Dakota,"1,378.21",928.78,"2,306.99",874.97,573.92,"1,448.89"
2006,South Dakota,"1,434.00",986.40,"2,420.41",896.06,593.35,"1,489.41"
2007,South Dakota,"1,515.55","1,015.28","2,530.83",910.83,590.39,"1,501.22"
2008,South Dakota,"1,591.92","1,055.29","2,647.21",899.17,585.89,"1,485.06"
2009,South Dakota,"1,596.47","1,066.25","2,662.72",893.27,570.67,"1,463.94"
2010,South Dakota,"1,648.24","1,099.95","2,748.20",918.14,582.31,"1,500.44"
2011,South Dakota,"1,751.34","1,163.52","2,914.86",931.76,600.82,"1,532.58"
2012,South Dakota,"1,888.69","1,226.84","3,115.53",979.18,615.61,"1,594.79"
2013,South Dakota,"1,883.38","1,294.10","3,177.48",971.05,634.06,"1,605.12"
2014,South Dakota,"1,918.11","1,392.22","3,310.33",965.00,663.79,"1,628.79"
2015,South Dakota,"1,923.79","1,510.14","3,433.93",962.54,698.67,"1,661.21"
2016,South Dakota,"1,993.18","1,610.05","3,603.23","1,010.70",726.31,"1,737.01"
2017,South Dakota,"2,030.90","1,710.41","3,741.30","1,033.51",758.90,"1,792.41"
2018,South Dakota,"2,041.76","1,772.70","3,814.46","1,038.73",768.17,"1,806.91"
2019,South Dakota,"2,056.32","1,829.39","3,885.71","1,041.01",772.11,"1,813.13"
2020,South Dakota,"2,132.36","1,696.15","3,828.51","1,049.22",698.10,"1,747.32"
2021,South Dakota,"2,345.39","2,165.44","4,510.83","1,115.78",848.10,"1,963.88"
2022,South Dakota,"2,445.41","2,394.03","4,839.44","1,030.83",862.32,"1,893.15"
2023,South Dakota,"2,485.42","2,567.79","5,053.21",995.75,865.92,"1,861.67"
1997,Tennessee,"4,946.95","5,006.22","9,953.17","3,679.15","3,844.18","7,523.33"
1998,Tennessee,"6,001.89","5,235.37","11,237.26","4,398.59","3,916.92","8,315.52"
1999,Tennessee,"6,479.10","5,458.45","11,937.55","4,674.18","3,986.36","8,660.54"
2000,Tennessee,"6,738.31","5,922.95","12,661.26","4,734.03","4,229.69","8,963.72"
2001,Tennessee,"7,197.72","6,154.67","13,352.39","4,916.24","4,280.30","9,196.54"
2002,Tennessee,"7,849.02","6,430.84","14,279.86","5,292.25","4,372.97","9,665.22"
2003,Tennessee,"8,141.57","6,848.84","14,990.41","5,373.43","4,548.55","9,921.98"
2004,Tennessee,"8,644.28","7,343.74","15,988.03","5,488.81","4,730.92","10,219.73"
2005,Tennessee,"9,172.03","7,840.15","17,012.18","5,707.81","4,908.62","10,616.43"
2006,Tennessee,"9,756.18","8,339.46","18,095.64","5,955.81","5,065.76","11,021.56"
2007,Tennessee,"10,508.33","8,685.37","19,193.69","6,156.75","5,101.61","11,258.36"
2008,Tennessee,"11,147.10","8,884.66","20,031.76","6,119.54","4,989.02","11,108.56"
2009,Tennessee,"11,117.56","8,693.51","19,811.07","6,057.20","4,710.68","10,767.88"
2010,Tennessee,"11,543.08","8,973.91","20,517.00","6,252.23","4,801.42","11,053.66"
2011,Tennessee,"12,163.61","9,547.33","21,710.94","6,267.52","4,997.08","11,264.61"
2012,Tennessee,"12,965.99","10,200.15","23,166.14","6,505.21","5,195.80","11,701.01"
2013,Tennessee,"12,999.93","10,903.89","23,903.81","6,445.64","5,429.63","11,875.27"
2014,Tennessee,"13,381.98","11,855.23","25,237.21","6,477.21","5,767.53","12,244.74"
2015,Tennessee,"13,242.27","13,024.00","26,266.27","6,344.11","6,148.49","12,492.60"
2016,Tennessee,"13,559.02","14,007.37","27,566.39","6,589.47","6,483.15","13,072.63"
2017,Tennessee,"13,576.97","14,988.21","28,565.18","6,612.89","6,800.20","13,413.08"
2018,Tennessee,"14,118.21","15,794.99","29,913.20","6,856.01","7,018.14","13,874.14"
2019,Tennessee,"14,653.01","16,772.52","31,425.53","7,067.08","7,230.20","14,297.27"
2020,Tennessee,"17,938.78","15,700.82","33,639.60","8,357.69","6,588.32","14,946.01"
2021,Tennessee,"19,021.90","19,073.25","38,095.15","8,568.02","7,705.47","16,273.50"
2022,Tennessee,"20,266.38","21,288.17","41,554.55","8,195.96","7,980.15","16,176.12"
2023,Tennessee,"20,805.67","23,147.95","43,953.62","7,987.23","8,101.05","16,088.28"
1997,Texas,"29,091.03","18,835.88","47,926.91","21,635.63","14,463.69","36,099.32"
1998,Texas,"29,743.46","20,191.45","49,934.91","21,798.03","15,106.56","36,904.59"
1999,Texas,"31,588.48","21,337.88","52,926.36","22,788.70","15,583.27","38,371.96"
2000,Texas,"33,364.95","23,212.79","56,577.74","23,440.70","16,576.70","40,017.40"
2001,Texas,"35,467.90","24,227.83","59,695.73","24,225.56","16,849.36","41,074.92"
2002,Texas,"35,645.39","25,215.73","60,861.12","24,034.11","17,146.70","41,180.80"
2003,Texas,"35,912.95","26,522.59","62,435.53","23,702.54","17,614.57","41,317.11"
2004,Texas,"37,802.35","28,300.05","66,102.40","24,003.14","18,231.19","42,234.33"
2005,Texas,"40,107.68","29,924.37","70,032.05","24,959.25","18,735.26","43,694.51"
2006,Texas,"42,097.12","32,134.85","74,231.97","25,698.82","19,520.13","45,218.95"
2007,Texas,"44,377.14","34,246.46","78,623.60","26,000.25","20,115.68","46,115.94"
2008,Texas,"47,430.96","36,233.71","83,664.67","26,038.67","20,346.40","46,385.07"
2009,Texas,"47,631.33","36,743.12","84,374.45","25,951.07","19,909.68","45,860.75"
2010,Texas,"49,371.82","37,854.59","87,226.41","26,741.91","20,253.80","46,995.71"
2011,Texas,"52,566.95","40,922.17","93,489.13","27,086.09","21,418.71","48,504.80"
2012,Texas,"56,723.89","43,970.39","100,694.29","28,459.15","22,397.84","50,856.99"
2013,Texas,"58,672.37","47,478.65","106,151.02","29,090.99","23,642.17","52,733.16"
2014,Texas,"61,591.51","51,780.94","113,372.45","29,811.84","25,191.23","55,003.07"
2015,Texas,"62,579.71","57,214.05","119,793.77","29,980.70","27,010.14","56,990.84"
2016,Texas,"64,178.91","61,504.13","125,683.04","31,189.94","28,466.49","59,656.43"
2017,Texas,"67,038.05","65,851.77","132,889.81","32,651.98","29,877.15","62,529.13"
2018,Texas,"69,658.59","69,716.89","139,375.47","33,827.21","30,977.07","64,804.29"
2019,Texas,"72,205.64","74,177.45","146,383.09","34,824.42","31,975.96","66,800.38"
2020,Texas,"79,080.63","69,240.11","148,320.73","36,843.71","29,054.28","65,897.99"
2021,Texas,"85,919.00","86,260.45","172,179.44","38,700.44","34,848.68","73,549.13"
2022,Texas,"94,599.75","97,991.78","192,591.53","38,257.25","36,733.53","74,990.78"
2023,Texas,"98,388.91","106,724.65","205,113.56","37,771.20","37,350.24","75,121.44"
1997,Utah,"3,202.49","1,821.08","5,023.57","2,289.74","1,421.27","3,711.01"
1998,Utah,"3,257.73","1,920.78","5,178.51","2,259.83","1,460.09","3,719.92"
1999,Utah,"3,408.05","1,988.55","5,396.61","2,317.16","1,479.68","3,796.84"
2000,Utah,"3,474.29","2,137.11","5,611.40","2,314.87","1,555.44","3,870.31"
2001,Utah,"3,579.76","2,224.50","5,804.26","2,289.47","1,569.46","3,858.94"
2002,Utah,"3,579.60","2,326.69","5,906.29","2,247.39","1,589.15","3,836.54"
2003,Utah,"3,879.79","2,428.53","6,308.32","2,371.89","1,627.17","3,999.06"
2004,Utah,"4,324.82","2,620.12","6,944.93","2,548.91","1,703.15","4,252.05"
2005,Utah,"4,669.49","2,761.58","7,431.08","2,727.19","1,733.04","4,460.23"
2006,Utah,"5,137.35","2,963.28","8,100.63","2,964.74","1,806.62","4,771.35"
