Year,State,FAH sales per capita nominal U.S. dollars without taxes and tips,FAFH sales per capita nominal U.S. dollars without taxes and tips,Total sales per capita nominal U.S. dollars without taxes and tips,FAH sales per capita constant 1988 U.S. dollars without taxes and tips,FAFH sales per capita constant 1988 U.S. dollars without taxes and tips,Total sales per capita constant 1988 U.S. dollars without taxes and tips
2023,North Carolina,"2,997.71","3,092.56","6,090.27","1,150.81","1,082.30","2,233.11"
1997,North Dakota,"1,325.45",763.41,"2,088.86",991.29,582.19,"1,573.48"
1998,North Dakota,"1,323.78",800.30,"2,124.09",972.35,594.93,"1,567.28"
1999,North Dakota,"1,373.27",825.48,"2,198.75",987.89,598.55,"1,586.44"
2000,North Dakota,"1,395.06",871.18,"2,266.24",980.89,614.31,"1,595.19"
2001,North Dakota,"1,442.72",901.86,"2,344.58",983.75,618.20,"1,601.94"
2002,North Dakota,"1,473.89",938.46,"2,412.35",997.32,629.74,"1,627.06"
2003,North Dakota,"1,541.89",981.90,"2,523.79","1,028.82",646.01,"1,674.84"
2004,North Dakota,"1,601.39","1,041.88","2,643.26","1,038.42",665.78,"1,704.20"
2005,North Dakota,"1,699.82","1,103.74","2,803.55","1,079.14",682.02,"1,761.17"
2006,North Dakota,"1,795.81","1,157.56","2,953.37","1,122.14",696.31,"1,818.45"
2007,North Dakota,"1,793.42","1,224.59","3,018.01","1,077.83",712.11,"1,789.94"
2008,North Dakota,"2,001.07","1,297.22","3,298.29","1,130.27",720.21,"1,850.48"
2009,North Dakota,"1,999.10","1,349.32","3,348.41","1,118.55",722.17,"1,840.72"
2010,North Dakota,"2,055.38","1,426.00","3,481.38","1,144.93",754.91,"1,899.84"
2011,North Dakota,"2,151.69","1,548.15","3,699.84","1,144.75",799.44,"1,944.19"
2012,North Dakota,"2,371.92","1,676.79","4,048.71","1,229.70",841.39,"2,071.10"
2013,North Dakota,"2,436.70","1,715.32","4,152.02","1,256.34",840.45,"2,096.78"
2014,North Dakota,"2,492.68","1,806.09","4,298.77","1,254.07",861.12,"2,115.19"
2015,North Dakota,"2,376.91","1,860.81","4,237.72","1,189.25",860.90,"2,050.15"
2016,North Dakota,"2,317.18","1,868.88","4,186.06","1,174.99",843.07,"2,018.06"
2017,North Dakota,"2,373.54","1,955.99","4,329.53","1,207.88",867.87,"2,075.75"
2018,North Dakota,"2,429.20","2,037.29","4,466.49","1,235.84",882.83,"2,118.67"
2019,North Dakota,"2,435.01","2,092.39","4,527.40","1,232.72",883.12,"2,115.84"
2020,North Dakota,"2,479.13","1,888.14","4,367.27","1,219.85",777.11,"1,996.96"
2021,North Dakota,"2,703.80","2,343.93","5,047.73","1,286.28",918.01,"2,204.29"
2022,North Dakota,"2,827.35","2,505.93","5,333.29","1,191.83",902.63,"2,094.46"
2023,North Dakota,"2,849.52","2,615.77","5,465.30","1,141.62",882.10,"2,023.73"
1997,Ohio,"1,184.27",940.75,"2,125.02",885.70,717.43,"1,603.13"
1998,Ohio,"1,196.53",974.54,"2,171.07",878.88,724.45,"1,603.33"
1999,Ohio,"1,259.11","1,003.96","2,263.07",905.77,727.96,"1,633.73"
2000,Ohio,"1,316.80","1,053.61","2,370.41",925.86,742.94,"1,668.81"
2001,Ohio,"1,357.29","1,070.21","2,427.50",925.50,733.59,"1,659.09"
2002,Ohio,"1,382.72","1,098.92","2,481.63",935.63,737.41,"1,673.04"
2003,Ohio,"1,547.84","1,148.69","2,696.53","1,032.79",755.75,"1,788.54"
2004,Ohio,"1,579.12","1,220.12","2,799.24","1,023.98",779.69,"1,803.67"
2005,Ohio,"1,706.24","1,278.57","2,984.81","1,083.22",790.06,"1,873.28"
2006,Ohio,"1,763.83","1,329.49","3,093.32","1,102.15",799.73,"1,901.88"
2007,Ohio,"1,843.49","1,362.03","3,205.52","1,107.92",792.03,"1,899.95"
2008,Ohio,"1,999.20","1,381.36","3,380.56","1,129.21",766.92,"1,896.13"
2009,Ohio,"1,957.82","1,360.56","3,318.39","1,095.45",728.19,"1,823.64"
2010,Ohio,"2,020.62","1,405.08","3,425.70","1,125.57",743.84,"1,869.41"
2011,Ohio,"2,124.40","1,487.02","3,611.42","1,130.24",767.87,"1,898.11"
2012,Ohio,"2,301.11","1,573.74","3,874.85","1,192.99",789.68,"1,982.68"
2013,Ohio,"2,265.07","1,653.10","3,918.17","1,167.85",809.96,"1,977.81"
2014,Ohio,"2,269.40","1,745.98","4,015.39","1,141.73",832.46,"1,974.20"
2015,Ohio,"2,231.87","1,876.33","4,108.20","1,116.68",868.09,"1,984.77"
2016,Ohio,"2,222.87","1,974.60","4,197.46","1,127.17",890.76,"2,017.93"
2017,Ohio,"2,260.24","2,085.91","4,346.16","1,150.22",925.51,"2,075.74"
2018,Ohio,"2,322.44","2,174.19","4,496.63","1,181.53",942.16,"2,123.69"
2019,Ohio,"2,348.30","2,252.67","4,600.97","1,188.83",950.76,"2,139.59"
2020,Ohio,"2,457.02","2,021.52","4,478.53","1,208.97",832.01,"2,040.98"
2021,Ohio,"2,601.38","2,489.60","5,090.98","1,237.56",975.06,"2,212.62"
2022,Ohio,"2,722.26","2,765.11","5,487.36","1,147.53",995.98,"2,143.51"
2023,Ohio,"2,721.16","2,938.04","5,659.20","1,090.20",990.78,"2,080.98"
1997,Oklahoma,"1,084.07",829.02,"1,913.08",806.24,636.59,"1,442.83"
1998,Oklahoma,"1,097.07",846.61,"1,943.69",804.01,633.41,"1,437.42"
1999,Oklahoma,"1,132.71",891.53,"2,024.24",817.17,651.09,"1,468.26"
2000,Oklahoma,"1,152.96",938.36,"2,091.31",810.02,670.10,"1,480.11"
2001,Oklahoma,"1,193.00",967.59,"2,160.58",814.85,672.91,"1,487.76"
2002,Oklahoma,"1,183.34",988.25,"2,171.59",797.87,672.01,"1,469.88"
2003,Oklahoma,"1,246.52","1,019.13","2,265.65",822.71,676.84,"1,499.54"
2004,Oklahoma,"1,328.52","1,069.11","2,397.63",843.56,688.73,"1,532.29"
2005,Oklahoma,"1,434.59","1,119.87","2,554.46",892.75,701.14,"1,593.89"
2006,Oklahoma,"1,508.48","1,169.25","2,677.73",920.88,710.25,"1,631.13"
2007,Oklahoma,"1,564.06","1,190.36","2,754.42",916.37,699.19,"1,615.56"
2008,Oklahoma,"1,643.80","1,234.26","2,878.06",902.41,693.08,"1,595.49"
2009,Oklahoma,"1,607.55","1,243.45","2,851.00",875.84,673.78,"1,549.62"
2010,Oklahoma,"1,643.97","1,261.25","2,905.23",890.45,674.82,"1,565.27"
2011,Oklahoma,"1,707.33","1,347.69","3,055.02",879.73,705.38,"1,585.11"
2012,Oklahoma,"1,864.77","1,420.83","3,285.60",935.58,723.75,"1,659.33"
2013,Oklahoma,"1,867.77","1,493.34","3,361.11",926.08,743.61,"1,669.69"
2014,Oklahoma,"1,919.40","1,595.24","3,514.65",929.04,776.08,"1,705.12"
2015,Oklahoma,"1,927.28","1,730.28","3,657.56",923.32,816.85,"1,740.17"
2016,Oklahoma,"1,937.86","1,814.07","3,751.93",941.77,839.62,"1,781.39"
2017,Oklahoma,"1,985.88","1,911.85","3,897.73",967.26,867.41,"1,834.67"
2018,Oklahoma,"2,036.39","2,010.48","4,046.88",988.90,893.31,"1,882.21"
2019,Oklahoma,"2,053.80","2,105.44","4,159.24",990.54,907.60,"1,898.14"
2020,Oklahoma,"2,249.88","2,054.52","4,304.40","1,048.22",862.11,"1,910.33"
2021,Oklahoma,"2,428.53","2,463.23","4,891.76","1,093.88",995.13,"2,089.01"
2022,Oklahoma,"2,476.66","2,587.18","5,063.84","1,001.59",969.84,"1,971.43"
2023,Oklahoma,"2,519.15","2,717.91","5,237.06",967.09,951.18,"1,918.28"
1997,Oregon,"1,495.04","1,003.84","2,498.88","1,068.93",783.45,"1,852.39"
1998,Oregon,"1,502.21","1,034.39","2,536.61","1,042.06",786.30,"1,828.36"
1999,Oregon,"1,573.38","1,061.55","2,634.93","1,069.75",789.90,"1,859.65"
2000,Oregon,"1,595.21","1,104.27","2,699.48","1,062.86",803.71,"1,866.58"
2001,Oregon,"1,667.46","1,137.68","2,805.14","1,066.44",802.67,"1,869.12"
2002,Oregon,"1,699.26","1,159.83","2,859.09","1,066.85",792.18,"1,859.03"
2003,Oregon,"1,780.15","1,214.46","2,994.61","1,088.28",813.72,"1,902.00"
2004,Oregon,"1,898.94","1,294.80","3,193.74","1,119.17",841.66,"1,960.83"
2005,Oregon,"2,006.64","1,365.93","3,372.57","1,171.97",857.20,"2,029.16"
2006,Oregon,"2,108.68","1,449.36","3,558.04","1,216.91",883.63,"2,100.54"
2007,Oregon,"2,218.36","1,528.93","3,747.29","1,222.64",899.89,"2,122.53"
2008,Oregon,"2,344.11","1,553.40","3,897.51","1,216.87",880.79,"2,097.66"
2009,Oregon,"2,268.74","1,462.21","3,730.94","1,186.38",804.03,"1,990.41"
2010,Oregon,"2,345.01","1,484.94","3,829.95","1,233.67",807.06,"2,040.73"
2011,Oregon,"2,457.63","1,554.32","4,011.95","1,232.68",826.22,"2,058.90"
2012,Oregon,"2,687.88","1,628.19","4,316.07","1,324.28",839.79,"2,164.07"
2013,Oregon,"2,687.01","1,749.36","4,436.36","1,312.10",883.68,"2,195.78"
2014,Oregon,"2,733.26","1,901.13","4,634.39","1,298.43",937.19,"2,235.62"
2015,Oregon,"2,736.82","2,101.15","4,837.96","1,278.69","1,006.85","2,285.54"
2016,Oregon,"2,701.32","2,233.30","4,934.63","1,276.77","1,036.17","2,312.93"
2017,Oregon,"2,781.64","2,399.95","5,181.59","1,318.81","1,078.14","2,396.95"
2018,Oregon,"2,849.62","2,531.43","5,381.04","1,345.16","1,099.74","2,444.90"
2019,Oregon,"2,959.28","2,647.99","5,607.27","1,375.95","1,110.88","2,486.84"
2020,Oregon,"3,182.56","2,285.24","5,467.80","1,423.02",916.71,"2,339.73"
2021,Oregon,"3,452.32","2,830.85","6,283.17","1,479.13","1,082.78","2,561.91"
2022,Oregon,"3,886.11","3,293.09","7,179.20","1,494.54","1,174.06","2,668.60"
2023,Oregon,"3,990.94","3,682.68","7,673.63","1,466.97","1,221.91","2,688.88"
1997,Pennsylvania,"1,409.92",780.11,"2,190.04","1,040.82",617.83,"1,658.66"
1998,Pennsylvania,"1,398.25",816.19,"2,214.44","1,017.07",630.60,"1,647.67"
1999,Pennsylvania,"1,467.19",860.67,"2,327.86","1,044.86",646.40,"1,691.26"
2000,Pennsylvania,"1,466.63",897.66,"2,364.29","1,027.85",660.06,"1,687.91"
2001,Pennsylvania,"1,502.50",931.19,"2,433.69","1,020.53",664.99,"1,685.52"
2002,Pennsylvania,"1,540.39",971.20,"2,511.59","1,035.04",676.73,"1,711.78"
2003,Pennsylvania,"1,603.47","1,013.02","2,616.49","1,053.63",691.39,"1,745.02"
2004,Pennsylvania,"1,703.68","1,066.28","2,769.96","1,072.12",708.61,"1,780.73"
2005,Pennsylvania,"1,756.44","1,125.22","2,881.66","1,076.85",727.14,"1,803.98"
2006,Pennsylvania,"1,802.47","1,183.62","2,986.10","1,080.57",738.09,"1,818.66"
2007,Pennsylvania,"1,866.17","1,235.85","3,102.01","1,076.73",739.45,"1,816.18"
2008,Pennsylvania,"1,933.57","1,263.90","3,197.47","1,050.52",723.73,"1,774.25"
2009,Pennsylvania,"1,894.66","1,243.03","3,137.70","1,019.32",688.34,"1,707.65"
2010,Pennsylvania,"1,922.90","1,273.28","3,196.18","1,024.82",694.26,"1,719.08"
2011,Pennsylvania,"1,986.64","1,338.05","3,324.69","1,015.11",712.10,"1,727.22"
2012,Pennsylvania,"2,082.38","1,399.60","3,481.98","1,035.65",725.40,"1,761.04"
2013,Pennsylvania,"2,069.26","1,466.55","3,535.81","1,020.60",747.50,"1,768.10"
2014,Pennsylvania,"2,112.51","1,559.31","3,671.82","1,024.45",777.65,"1,802.10"
2015,Pennsylvania,"2,124.82","1,678.17","3,802.99","1,016.39",817.91,"1,834.30"
2016,Pennsylvania,"2,138.96","1,779.31","3,918.26","1,037.02",844.71,"1,881.74"
2017,Pennsylvania,"2,163.22","1,896.01","4,059.23","1,047.16",879.42,"1,926.59"
2018,Pennsylvania,"2,254.96","1,985.79","4,240.75","1,078.28",896.31,"1,974.59"
2019,Pennsylvania,"2,318.07","2,075.32","4,393.39","1,099.65",910.61,"2,010.26"
2020,Pennsylvania,"2,395.65","1,719.07","4,114.71","1,098.80",727.96,"1,826.76"
2021,Pennsylvania,"2,581.45","2,167.75","4,749.19","1,156.85",876.23,"2,033.08"
2022,Pennsylvania,"2,830.75","2,514.94","5,345.69","1,151.98",951.07,"2,103.05"
2023,Pennsylvania,"2,908.20","2,765.88","5,674.08","1,129.49",978.76,"2,108.24"
1997,Rhode Island,892.49,"1,021.23","1,913.72",658.85,808.80,"1,467.64"
1998,Rhode Island,940.49,"1,069.91","2,010.40",684.10,826.63,"1,510.73"
1999,Rhode Island,"1,018.57","1,154.84","2,173.41",725.37,867.33,"1,592.70"
2000,Rhode Island,"1,045.45","1,201.31","2,246.76",732.68,883.34,"1,616.02"
2001,Rhode Island,"1,171.81","1,239.07","2,410.88",795.92,884.85,"1,680.77"
2002,Rhode Island,"1,248.27","1,305.42","2,553.69",838.76,909.62,"1,748.38"
2003,Rhode Island,"1,294.42","1,362.59","2,657.01",850.56,929.98,"1,780.53"
2004,Rhode Island,"1,356.24","1,425.04","2,781.28",853.48,947.03,"1,800.51"
2005,Rhode Island,"1,414.16","1,466.23","2,880.39",867.00,947.50,"1,814.51"
2006,Rhode Island,"1,468.43","1,508.47","2,976.90",880.32,940.65,"1,820.97"
2007,Rhode Island,"1,751.23","1,563.99","3,315.22","1,010.41",935.79,"1,946.20"
2008,Rhode Island,"1,765.05","1,600.21","3,365.26",958.96,916.31,"1,875.27"
2009,Rhode Island,"1,694.46","1,567.98","3,262.44",911.61,868.28,"1,779.89"
2010,Rhode Island,"1,686.11","1,626.29","3,312.39",898.62,886.74,"1,785.36"
2011,Rhode Island,"1,743.98","1,712.16","3,456.13",891.12,911.20,"1,802.32"
2012,Rhode Island,"1,861.89","1,822.38","3,684.27",925.99,944.52,"1,870.50"
2013,Rhode Island,"1,926.45","1,927.85","3,854.30",950.17,982.63,"1,932.79"
2014,Rhode Island,"2,029.16","2,095.56","4,124.72",984.03,"1,045.09","2,029.12"
2015,Rhode Island,"2,089.59","2,280.63","4,370.22",999.54,"1,111.54","2,111.08"
2016,Rhode Island,"2,167.54","2,420.37","4,587.92","1,050.88","1,149.06","2,199.94"
2017,Rhode Island,"2,261.60","2,596.54","4,858.15","1,094.79","1,204.35","2,299.14"
2018,Rhode Island,"2,345.97","2,732.23","5,078.20","1,121.80","1,233.22","2,355.02"
2019,Rhode Island,"2,418.76","2,865.13","5,283.89","1,147.41","1,257.16","2,404.58"
2020,Rhode Island,"2,424.75","2,329.55","4,754.30","1,112.14",986.48,"2,098.63"
2021,Rhode Island,"2,670.37","3,066.87","5,737.24","1,196.71","1,239.67","2,436.37"
2022,Rhode Island,"3,069.02","3,574.58","6,643.60","1,248.94","1,351.80","2,600.73"
2023,Rhode Island,"3,163.50","3,875.45","7,038.94","1,228.64","1,371.40","2,600.04"
1997,South Carolina,"1,612.16",936.34,"2,548.50","1,199.00",718.99,"1,917.99"
1998,South Carolina,"1,564.78",986.10,"2,550.88","1,146.78",737.77,"1,884.54"
1999,South Carolina,"1,575.91","1,061.99","2,637.89","1,136.90",775.58,"1,912.48"
2000,South Carolina,"1,568.00","1,108.76","2,676.77","1,101.61",791.79,"1,893.40"
2001,South Carolina,"1,586.02","1,143.28","2,729.30","1,083.30",795.10,"1,878.39"
2002,South Carolina,"1,585.32","1,195.39","2,780.71","1,068.91",812.86,"1,881.78"
2003,South Carolina,"1,604.16","1,252.78","2,856.94","1,058.74",832.01,"1,890.76"
2004,South Carolina,"1,691.05","1,329.14","3,020.19","1,073.76",856.24,"1,930.00"
2005,South Carolina,"1,783.11","1,383.44","3,166.55","1,109.64",866.15,"1,975.79"
2006,South Carolina,"1,823.52","1,440.80","3,264.33","1,113.20",875.21,"1,988.41"
2007,South Carolina,"1,913.45","1,495.62","3,409.07","1,121.08",878.49,"1,999.57"
2008,South Carolina,"1,977.42","1,508.44","3,485.86","1,085.56",847.04,"1,932.60"
2009,South Carolina,"1,913.81","1,455.67","3,369.47","1,042.70",788.77,"1,831.47"
2010,South Carolina,"1,955.18","1,479.45","3,434.63","1,059.01",791.57,"1,850.58"
2011,South Carolina,"2,024.93","1,554.34","3,579.27","1,043.38",813.55,"1,856.93"
2012,South Carolina,"2,094.07","1,624.47","3,718.54","1,050.63",827.48,"1,878.11"
2013,South Carolina,"2,109.72","1,709.20","3,818.92","1,046.04",851.10,"1,897.15"
2014,South Carolina,"2,198.62","1,827.73","4,026.35","1,064.19",889.18,"1,953.37"
2015,South Carolina,"2,185.34","1,990.64","4,175.99","1,046.95",939.76,"1,986.72"
2016,South Carolina,"2,188.56","2,103.93","4,292.49","1,063.61",973.78,"2,037.39"
2017,South Carolina,"2,247.11","2,226.05","4,473.16","1,094.49","1,009.96","2,104.46"
2018,South Carolina,"2,342.90","2,353.31","4,696.21","1,137.74","1,045.64","2,183.38"
2019,South Carolina,"2,392.40","2,455.09","4,847.48","1,153.84","1,058.32","2,212.16"
2020,South Carolina,"2,604.78","2,284.36","4,889.14","1,213.57",958.56,"2,172.12"
2021,South Carolina,"2,756.12","2,770.20","5,526.31","1,241.44","1,119.14","2,360.58"
2022,South Carolina,"2,859.24","3,017.95","5,877.19","1,156.31","1,131.32","2,287.63"
2023,South Carolina,"2,878.03","3,201.59","6,079.62","1,104.87","1,120.45","2,225.32"
1997,South Dakota,"1,327.48",811.05,"2,138.53",992.81,618.52,"1,611.32"
1998,South Dakota,"1,340.86",854.87,"2,195.73",984.90,635.49,"1,620.39"
1999,South Dakota,"1,384.96",891.86,"2,276.83",996.31,646.68,"1,642.99"
2000,South Dakota,"1,419.24",945.46,"2,364.70",997.89,666.68,"1,664.57"
2001,South Dakota,"1,511.81","1,002.99","2,514.81","1,030.86",687.52,"1,718.38"
2002,South Dakota,"1,513.48","1,044.92","2,558.40","1,024.11",701.17,"1,725.28"
2003,South Dakota,"1,566.38","1,086.81","2,653.19","1,045.16",715.04,"1,760.20"
2004,South Dakota,"1,647.08","1,151.08","2,798.16","1,068.05",735.57,"1,803.62"
2005,South Dakota,"1,777.21","1,197.66","2,974.87","1,128.28",740.07,"1,868.34"
2006,South Dakota,"1,831.34","1,259.72","3,091.06","1,144.34",757.76,"1,902.10"
2007,South Dakota,"1,914.49","1,282.53","3,197.01","1,150.59",745.80,"1,896.39"
2008,South Dakota,"1,992.08","1,320.56","3,312.64","1,125.19",733.17,"1,858.36"
2009,South Dakota,"1,978.12","1,321.14","3,299.26","1,106.81",707.09,"1,813.90"
2010,South Dakota,"2,019.43","1,347.66","3,367.09","1,124.90",713.44,"1,838.34"
2011,South Dakota,"2,126.09","1,412.48","3,538.57","1,131.13",729.38,"1,860.51"
2012,South Dakota,"2,265.00","1,471.28","3,736.28","1,174.28",738.27,"1,912.55"
2013,South Dakota,"2,234.80","1,535.56","3,770.37","1,152.24",752.37,"1,904.61"
2014,South Dakota,"2,257.48","1,638.54","3,896.02","1,135.74",781.24,"1,916.97"
2015,South Dakota,"2,250.93","1,766.95","4,017.88","1,126.22",817.48,"1,943.70"
2016,South Dakota,"2,307.74","1,864.15","4,171.89","1,170.20",840.94,"2,011.14"
2017,South Dakota,"2,324.40","1,957.59","4,281.98","1,182.87",868.58,"2,051.44"
2018,South Dakota,"2,321.80","2,015.84","4,337.64","1,181.20",873.53,"2,054.74"
2019,South Dakota,"2,317.96","2,062.15","4,380.11","1,173.47",870.35,"2,043.82"
2020,South Dakota,"2,401.71","1,910.39","4,312.10","1,181.75",786.27,"1,968.03"
2021,South Dakota,"2,616.75","2,415.98","5,032.73","1,244.87",946.23,"2,191.10"
2022,South Dakota,"2,687.65","2,631.18","5,318.83","1,132.94",947.74,"2,080.68"
2023,South Dakota,"2,703.55","2,793.15","5,496.70","1,083.14",941.92,"2,025.06"
1997,Tennessee,919.78,930.80,"1,850.57",684.06,714.74,"1,398.80"
1998,Tennessee,"1,104.78",963.68,"2,068.46",809.65,720.99,"1,530.65"
1999,Tennessee,"1,181.56",995.43,"2,176.98",852.40,726.97,"1,579.37"
2000,Tennessee,"1,181.39","1,038.44","2,219.83",829.99,741.57,"1,571.56"
2001,Tennessee,"1,251.61","1,070.23","2,321.84",854.88,744.30,"1,599.18"
2002,Tennessee,"1,354.23","1,109.55","2,463.78",913.10,754.49,"1,667.59"
2003,Tennessee,"1,392.24","1,171.18","2,563.42",918.88,777.82,"1,696.70"
2004,Tennessee,"1,462.45","1,242.43","2,704.88",928.61,800.38,"1,728.99"
2005,Tennessee,"1,530.95","1,308.64","2,839.60",952.72,819.32,"1,772.05"
2006,Tennessee,"1,602.32","1,369.65","2,971.97",978.16,831.98,"1,810.15"
2007,Tennessee,"1,701.55","1,406.37","3,107.92",996.93,826.07,"1,823.00"
2008,Tennessee,"1,784.28","1,422.13","3,206.41",979.53,798.57,"1,778.11"
2009,Tennessee,"1,763.01","1,378.60","3,141.61",960.54,747.01,"1,707.56"
2010,Tennessee,"1,816.23","1,411.99","3,228.22",983.75,755.47,"1,739.22"
2011,Tennessee,"1,900.48","1,491.70","3,392.18",979.26,780.76,"1,760.01"
2012,Tennessee,"2,008.44","1,580.01","3,588.45","1,007.66",804.83,"1,812.49"
2013,Tennessee,"2,000.93","1,678.31","3,679.24",992.10,835.72,"1,827.82"
2014,Tennessee,"2,044.73","1,811.45","3,856.18",989.70,881.26,"1,870.96"
2015,Tennessee,"2,007.82","1,974.72","3,982.54",961.91,932.25,"1,894.15"
2016,Tennessee,"2,038.56","2,105.97","4,144.53",990.71,974.72,"1,965.43"
2017,Tennessee,"2,021.96","2,232.13","4,254.10",984.83,"1,012.73","1,997.56"
2018,Tennessee,"2,082.89","2,330.27","4,413.16","1,011.48","1,035.40","2,046.88"
2019,Tennessee,"2,145.29","2,455.60","4,600.88","1,034.66","1,058.54","2,093.21"
2020,Tennessee,"2,590.03","2,266.91","4,856.94","1,206.70",951.23,"2,157.93"
2021,Tennessee,"2,731.58","2,738.95","5,470.53","1,230.38","1,106.52","2,336.90"
2022,Tennessee,"2,875.08","3,020.04","5,895.12","1,162.72","1,132.10","2,294.82"
2023,Tennessee,"2,919.48","3,248.16","6,167.64","1,120.78","1,136.75","2,257.53"
1997,Texas,"1,502.99",973.16,"2,476.15","1,117.81",747.27,"1,865.07"
1998,Texas,"1,508.87","1,024.30","2,533.17","1,105.80",766.35,"1,872.15"
1999,Texas,"1,575.95","1,064.54","2,640.49","1,136.93",777.45,"1,914.37"
2000,Texas,"1,593.02","1,108.30","2,701.32","1,119.18",791.46,"1,910.64"
2001,Texas,"1,663.63","1,136.41","2,800.04","1,136.30",790.32,"1,926.63"
2002,Texas,"1,643.38","1,162.53","2,805.91","1,108.06",790.52,"1,898.58"
2003,Texas,"1,630.11","1,203.88","2,833.99","1,075.88",799.54,"1,875.41"
2004,Texas,"1,688.06","1,263.73","2,951.79","1,071.85",814.11,"1,885.96"
2005,Texas,"1,760.80","1,313.73","3,074.53","1,095.76",822.51,"1,918.27"
2006,Texas,"1,802.14","1,375.66","3,177.80","1,100.14",835.64,"1,935.78"
2007,Texas,"1,862.08","1,437.00","3,299.08","1,090.98",844.06,"1,935.04"
2008,Texas,"1,951.17","1,490.54","3,441.71","1,071.15",836.99,"1,908.14"
2009,Texas,"1,920.48","1,481.47","3,401.95","1,046.34",802.75,"1,849.09"
2010,Texas,"1,955.95","1,499.67","3,455.62","1,059.43",802.39,"1,861.81"
2011,Texas,"2,049.75","1,595.69","3,645.44","1,056.17",835.18,"1,891.36"
2012,Texas,"2,174.65","1,685.72","3,860.37","1,091.05",858.68,"1,949.73"
2013,Texas,"2,215.75","1,793.02","4,008.78","1,098.62",892.84,"1,991.46"
2014,Texas,"2,284.29","1,920.44","4,204.73","1,105.65",934.29,"2,039.94"
2015,Texas,"2,278.23","2,082.89","4,361.13","1,091.46",983.31,"2,074.77"
2016,Texas,"2,299.16","2,203.34","4,502.50","1,117.36","1,019.79","2,137.15"
2017,Texas,"2,369.59","2,327.66","4,697.24","1,154.15","1,056.06","2,210.21"
2018,Texas,"2,433.52","2,435.56","4,869.09","1,181.75","1,082.18","2,263.94"
2019,Texas,"2,490.98","2,559.01","5,049.99","1,201.39","1,103.12","2,304.51"
2020,Texas,"2,705.06","2,368.45","5,073.51","1,260.29",993.84,"2,254.13"
2021,Texas,"2,906.47","2,918.02","5,824.49","1,309.16","1,178.86","2,488.02"
2022,Texas,"3,150.19","3,263.15","6,413.34","1,273.97","1,223.23","2,497.21"
2023,Texas,"3,225.52","3,498.79","6,724.31","1,238.27","1,224.47","2,462.73"
1997,Utah,"1,550.55",881.71,"2,432.25","1,108.62",688.13,"1,796.76"
1998,Utah,"1,550.89",914.41,"2,465.30","1,075.82",695.09,"1,770.92"
1999,Utah,"1,600.15",933.67,"2,533.81","1,087.95",694.74,"1,782.69"
2000,Utah,"1,547.91",952.15,"2,500.06","1,031.35",693.00,"1,724.35"
2001,Utah,"1,567.52",974.07,"2,541.59","1,002.52",687.24,"1,689.76"
2002,Utah,"1,539.74","1,000.81","2,540.54",966.70,683.56,"1,650.26"
2003,Utah,"1,643.89","1,028.98","2,672.86","1,004.98",689.44,"1,694.42"
2004,Utah,"1,800.82","1,091.00","2,891.82","1,061.35",709.18,"1,770.52"
2005,Utah,"1,899.93","1,123.64","3,023.57","1,109.64",705.14,"1,814.78"
2006,Utah,"2,034.19","1,173.34","3,207.52","1,173.92",715.35,"1,889.27"
2007,Utah,"2,195.64","1,220.14","3,415.78","1,210.12",718.14,"1,928.26"
2008,Utah,"2,302.96","1,253.76","3,556.73","1,195.51",710.89,"1,906.40"
2009,Utah,"2,216.92","1,207.25","3,424.17","1,159.28",663.83,"1,823.12"
2010,Utah,"2,165.15","1,227.28","3,392.42","1,139.05",667.02,"1,806.07"
2011,Utah,"2,204.26","1,298.06","3,502.32","1,105.60",690.00,"1,795.60"
2012,Utah,"2,371.15","1,373.81","3,744.96","1,168.23",708.59,"1,876.82"
2013,Utah,"2,327.67","1,475.67","3,803.34","1,136.63",745.43,"1,882.06"
2014,Utah,"2,349.88","1,600.08","3,949.96","1,116.31",788.78,"1,905.09"
2015,Utah,"2,362.02","1,754.13","4,116.15","1,103.58",840.56,"1,944.14"
2016,Utah,"2,411.94","1,856.93","4,268.87","1,139.99",861.54,"2,001.53"
2017,Utah,"2,560.83","1,977.78","4,538.62","1,214.12",888.49,"2,102.61"
2018,Utah,"2,642.55","2,112.27","4,754.82","1,247.41",917.64,"2,165.05"
2019,Utah,"2,755.37","2,231.89","4,987.25","1,281.14",936.32,"2,217.46"
2020,Utah,"2,927.53","2,128.65","5,056.18","1,308.99",853.89,"2,162.89"
2021,Utah,"3,228.14","2,627.69","5,855.83","1,383.08","1,005.08","2,388.16"
2022,Utah,"3,629.08","2,924.86","6,553.94","1,395.69","1,042.78","2,438.47"
2023,Utah,"3,807.22","3,201.83","7,009.05","1,399.44","1,062.37","2,461.81"
1997,Vermont,"1,541.36",882.56,"2,423.92","1,137.86",698.97,"1,836.82"
1998,Vermont,"1,562.28",909.42,"2,471.70","1,136.38",702.63,"1,839.01"
1999,Vermont,"1,621.17",942.58,"2,563.76","1,154.52",707.92,"1,862.44"
2000,Vermont,"1,630.04",975.34,"2,605.38","1,142.37",717.18,"1,859.55"
2001,Vermont,"1,675.58","1,035.51","2,711.09","1,138.09",739.48,"1,877.57"
2002,Vermont,"1,740.83","1,058.38","2,799.21","1,169.73",737.48,"1,907.21"
2003,Vermont,"1,769.68","1,077.86","2,847.54","1,162.85",735.64,"1,898.49"
